Combinação,nº portais,% utilizado da população
Publicsoft,6,"12,2"
Elmar Tecnologia,3,25
e-TICons ,3,"27,3"
Info Public,2,"12,5"
Alfa Consultoria / Elmar Tecnologia,2,"15,4"
Portal Próprio / Publicsoft ,2,20
Alfa Consultoria / Publicsoft,2,"22,2"
EasyWeb / Publicsoft,2,"22,2"
Portal Próprio / Elmar Tecnologia,2,25
LHSystem / Elmar Tecnologia,1,25
DC Soluções,1,"33,3"
EasyWeb / Publicsoft / e-TICons,1,50
Portal Próprio / Publicsoft / Elmar Tecnologia,1,50
Franinformática / Publicsoft / Aspec Informática,1,100
TI de João Pessoal,1,100
EasyWeb / e-TICons,1,"16,7"
