municipio,link_portal_transp,link_prefeitura,observacoes,fornecedor,tipo_fornecer,Fornecedor: Gestões Anteriores,,,,,,,,,,,
Água Branca,http://transparencia.elmar.inf.br/?e=201001,http://aguabranca.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Aguiar,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/views/views_control/index.php?cidade=ML4=&uf=PB,http://www.aguiar.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Alagoa Grande,http://transparencia.alagoagrande.pb.gov.br/,http://www.alagoagrande.pb.gov.br/,,Alfa Consultoria / Info Public,Múltiplos,N/A,,,,,,,,,,,
Alagoa Nova,http://www.transparenciaativa.com.br/Principal.aspx?Entidade=93,http://www.alagoanova.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Alagoinha,http://transparencia.alagoinha.pb.gov.br/,http://www.alagoinha.pb.gov.br/,,Alfa Consultoria / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Alcantil,http://www.alcantil.pb.gov.br/portal-da-transparencia,http://www.alcantil.pb.gov.br/,Abre modal,Publicsoft,Único,N/A,,,,,,,,,,,
Algodão de Jandaíra,http://www.transparenciaativa.com.br/Principal.aspx?Entidade=37,http://algodaodejandaira.pb.gov.br/portal/,,Info Public,Único,N/A,,,,,,,,,,,
Alhandra,http://www.alhandra.pb.gov.br/index.php/transparencia/portal-da-transparencia,http://www.alhandra.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Amparo,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=MLN1,http://amparo.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Aparecida,http://www.aparecida.pb.gov.br/portal-da-transparencia.html,http://www.aparecida.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Araçagi,http://transparencia.aracagi.pb.gov.br/,http://www.aracagi.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,Info Public,,,,,,,,,,,
Arara,http://transparencia.elmar.inf.br/?e=201012,http://www.arara.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
