municipio,aproach,date,total_itens,tp_total,fn_total,fp_total,recall,precision,f1_score,median_duration_min,median_duration,max_duration,max_durationMin,median_num_access_node,max_num_access_node,all_access_node,combination,tipo_exp
Alcantil,bandit,2019-11-19T04:04:19Z,61,57,2,2,0.9661016949152542,0.9661016949152542,0.9661016949152542,25,1501074,3380140,56,9,22,614,Publicsoft,all_itens
Alcantil,bandit,2019-11-26T11:22:11Z,48,45,0,3,1,0.9375,0.967741935483871,23,1383197,2420097,40,13,17,573,Publicsoft,less_itens
Alcantil,bandit,2019-11-28T14:06:36Z,48,45,0,3,1,0.9375,0.967741935483871,10,624802,1021271,17,11,17,545,Publicsoft,less_itens
Alcantil,bandit,2019-12-01T21:04:58Z,61,57,1,3,0.9827586206896551,0.95,0.9661016949152542,30,1793781,2324589,39,15,16,805,Publicsoft,all_itens
Alcantil,bandit,2019-12-04T03:28:19Z,61,57,1,3,0.9827586206896551,0.95,0.9661016949152542,25,1503753,2055796,34,15,16,799,Publicsoft,all_itens
Alcantil,bfs,2019-11-11T22:58:13Z,61,57,2,2,0.9661016949152542,0.9661016949152542,0.9661016949152542,25,1502113,1534798,26,9,13,595,Publicsoft,all_itens
Alcantil,bfs,2019-11-26T11:22:07Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,24,1412944,2427524,40,14,17,620,Publicsoft,less_itens
Alcantil,bfs,2019-11-28T02:39:38Z,61,57,2,2,0.9661016949152542,0.9661016949152542,0.9661016949152542,16,975013,1085532,18,15,17,834,Publicsoft,all_itens
Alcantil,bfs,2019-12-02T21:28:49Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,23,1371794,2265060,38,14,17,620,Publicsoft,less_itens
Alcantil,dfs,2019-11-22T15:33:46Z,61,57,1,3,0.9827586206896551,0.95,0.9661016949152542,42,2522205,4835790,81,17,32,1129,Publicsoft,all_itens
Alcantil,dfs,2019-11-27T02:22:33Z,48,45,0,3,1,0.9375,0.967741935483871,24,1463022,2878011,48,15,20,674,Publicsoft,less_itens
Alcantil,dfs,2019-11-30T03:37:54Z,61,57,1,3,0.9827586206896551,0.95,0.9661016949152542,28,1687224,2849091,47,16,20,877,Publicsoft,all_itens
Arara,bandit,2019-11-01T23:51:14Z,61,48,9,4,0.8421052631578947,0.9230769230769231,0.8807339449541285,16,982682,7965763,133,13,75,1025,Elmar Tecnologia,all_itens
Arara,bandit,2019-11-11T14:33:27Z,61,49,9,3,0.8448275862068966,0.9423076923076923,0.890909090909091,18,1103218,7344291,122,16,74,1644,Elmar Tecnologia,all_itens
Arara,bandit,2019-11-28T14:06:36Z,48,43,4,1,0.9148936170212766,0.9772727272727273,0.945054945054945,65,3907190,4073349,68,100,101,3130,Elmar Tecnologia,less_itens
Arara,bandit,2019-12-04T01:01:00Z,61,52,6,3,0.896551724137931,0.9454545454545454,0.920353982300885,19,1151876,13751750,229,23,157,4349,Elmar Tecnologia,all_itens
Arara,bfs,2019-11-02T19:43:10Z,61,48,9,4,0.8421052631578947,0.9230769230769231,0.8807339449541285,16,978487,7818163,130,13,75,1013,Elmar Tecnologia,all_itens
Arara,bfs,2019-11-06T02:44:42Z,61,48,9,4,0.8421052631578947,0.9230769230769231,0.8807339449541285,18,1057375,9412012,157,16,89,1395,Elmar Tecnologia,all_itens
Arara,bfs,2019-11-09T23:00:57Z,61,49,9,3,0.8448275862068966,0.9423076923076923,0.890909090909091,17,1031945,9799989,163,16,89,1626,Elmar Tecnologia,all_itens
Arara,bfs,2019-11-26T19:51:26Z,48,43,4,1,0.9148936170212766,0.9772727272727273,0.945054945054945,113,6770592,17852034,298,105,169,3538,Elmar Tecnologia,less_itens
Arara,bfs,2019-11-28T02:39:38Z,61,52,6,3,0.896551724137931,0.9454545454545454,0.920353982300885,17,1019679,6794942,113,23,138,3466,Elmar Tecnologia,all_itens
Arara,bfs,2019-12-03T01:03:00Z,48,43,4,1,0.9148936170212766,0.9772727272727273,0.945054945054945,95,5693027,14598586,243,104,169,3515,Elmar Tecnologia,less_itens
Arara,dfs,2019-11-04T01:03:50Z,61,48,9,4,0.8421052631578947,0.9230769230769231,0.8807339449541285,17,1026793,8751680,146,13,81,1067,Elmar Tecnologia,all_itens
Arara,dfs,2019-11-13T03:47:52Z,61,49,9,3,0.8448275862068966,0.9423076923076923,0.890909090909091,19,1122500,10799630,180,15,95,1754,Elmar Tecnologia,all_itens
Areia,bandit,2019-11-19T07:05:57Z,61,48,5,4,0.9056603773584906,0.9230769230769231,0.9142857142857143,36,2149379,18412504,307,17,97,2752,Alfa Consultoria / Publicsoft,all_itens
