municipio,aproach,date,total_itens,tp_total,fn_total,fp_total,recall,precision,f1_score,median_duration_min,median_duration,max_duration,max_durationMin,median_num_access_node,max_num_access_node,all_access_node,combination,tipo_exp
Alcantil,Bfs,2019-11-26T11:22:07Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,24,1412944,2427524,40,14,17,620,Publicsoft,less_itens
Alcantil,Bfs,2019-12-02T21:28:49Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,23,1371794,2265060,38,14,17,620,Publicsoft,less_itens
Alcantil,Bfs,2019-12-07T05:53:51Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,19,1167370,2120084,35,14,17,620,Publicsoft,less_itens
Alcantil,Bfs,2019-12-08T22:27:23Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,20,1176424,2140418,36,14,17,620,Publicsoft,less_itens
Alcantil,Epsilon-greedy,2019-11-26T11:22:11Z,48,45,0,3,1,0.9375,0.967741935483871,23,1383197,2420097,40,13,17,573,Publicsoft,less_itens
Alcantil,Epsilon-greedy,2019-11-28T14:06:36Z,48,45,0,3,1,0.9375,0.967741935483871,10,624802,1021271,17,11,17,545,Publicsoft,less_itens
Alcantil,Epsilon-greedy,2019-12-07T10:57:20Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,21,1279025,2127116,35,15,18,664,Publicsoft,less_itens
Alcantil,Epsilon-greedy + Bfs,2019-12-13T00:48:19Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,15,904200,2020528,34,11,15,509,Publicsoft,less_itens
Alcantil,Epsilon-greedy + Bfs,2019-12-15T07:29:09Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,13,765578,2019581,34,10,15,486,Publicsoft,less_itens
Arara,Bfs,2019-11-26T19:51:26Z,48,43,4,1,0.9148936170212766,0.9772727272727273,0.945054945054945,113,6770592,17852034,298,105,169,3538,Elmar Tecnologia,less_itens
Arara,Bfs,2019-12-03T01:03:00Z,48,43,4,1,0.9148936170212766,0.9772727272727273,0.945054945054945,95,5693027,14598586,243,104,169,3515,Elmar Tecnologia,less_itens
Arara,Bfs,2019-12-08T12:29:27Z,48,43,4,1,0.9148936170212766,0.9772727272727273,0.945054945054945,100,6026199,15405084,257,104,169,3515,Elmar Tecnologia,less_itens
Arara,Epsilon-greedy,2019-11-28T14:06:36Z,48,43,4,1,0.9148936170212766,0.9772727272727273,0.945054945054945,65,3907190,4073349,68,100,101,3130,Elmar Tecnologia,less_itens
