municipio,aproach,date,total_itens,tp_total,fn_total,fp_total,recall,precision,f1_score,median_duration_min,median_duration,max_duration,max_durationMin,median_num_access_node,mean_num_access_node,max_num_access_node,all_access_node,combination,tipo_exp
Alcantil,Bfs,2019-11-11T22:58:13Z,61,57,2,2,0.9661016949152542,0.9661016949152542,0.9661016949152542,25,1502113,1534798,26,9,9.754098360655737,13,595,Publicsoft,all_itens
Alcantil,Bfs,2019-11-28T02:39:38Z,61,57,2,2,0.9661016949152542,0.9661016949152542,0.9661016949152542,16,975013,1085532,18,15,13.672131147540984,17,834,Publicsoft,all_itens
Alcantil,Bfs,2019-12-10T03:04:49Z,61,57,2,2,0.9661016949152542,0.9661016949152542,0.9661016949152542,25,1510359,2182159,36,15,13.672131147540984,17,834,Publicsoft,all_itens
Alcantil,Dfs,2019-11-22T15:33:46Z,61,57,1,3,0.9827586206896551,0.95,0.9661016949152542,42,2522205,4835790,81,17,18.508196721311474,32,1129,Publicsoft,all_itens
Alcantil,Dfs,2019-11-30T03:37:54Z,61,57,1,3,0.9827586206896551,0.95,0.9661016949152542,28,1687224,2849091,47,16,14.37704918032787,20,877,Publicsoft,all_itens
Alcantil,Dfs,2019-12-05T12:49:13Z,61,57,1,3,0.9827586206896551,0.95,0.9661016949152542,26,1581066,2752716,46,16,14.37704918032787,20,877,Publicsoft,all_itens
Alcantil,Epsilon-greedy,2019-11-19T04:04:19Z,61,57,2,2,0.9661016949152542,0.9661016949152542,0.9661016949152542,25,1501074,3380140,56,9,10.065573770491802,22,614,Publicsoft,all_itens
Alcantil,Epsilon-greedy,2019-12-01T21:04:58Z,61,57,1,3,0.9827586206896551,0.95,0.9661016949152542,30,1793781,2324589,39,15,13.19672131147541,16,805,Publicsoft,all_itens
Alcantil,Epsilon-greedy,2019-12-04T03:28:19Z,61,57,1,3,0.9827586206896551,0.95,0.9661016949152542,25,1503753,2055796,34,15,13.098360655737705,16,799,Publicsoft,all_itens
Arara,Bfs,2019-11-02T19:43:10Z,61,48,9,4,0.8421052631578947,0.9230769230769231,0.8807339449541285,16,978487,7818163,130,13,16.60655737704918,75,1013,Elmar Tecnologia,all_itens
Arara,Bfs,2019-11-06T02:44:42Z,61,48,9,4,0.8421052631578947,0.9230769230769231,0.8807339449541285,18,1057375,9412012,157,16,22.868852459016395,89,1395,Elmar Tecnologia,all_itens
Arara,Bfs,2019-11-09T23:00:57Z,61,49,9,3,0.8448275862068966,0.9423076923076923,0.890909090909091,17,1031945,9799989,163,16,26.65573770491803,89,1626,Elmar Tecnologia,all_itens
Arara,Bfs,2019-11-28T02:39:38Z,61,52,6,3,0.896551724137931,0.9454545454545454,0.920353982300885,17,1019679,6794942,113,23,56.81967213114754,138,3466,Elmar Tecnologia,all_itens
