municipio,aproach,date,total_itens,tp_total,fn_total,fp_total,recall,precision,f1_score,median_duration_min,median_duration,max_duration,max_durationMin,median_num_access_node,max_num_access_node,all_access_node,combination,tipo_exp
Alcantil,bandit,2019-12-12T09:33:51Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,12,690010,1990332,33,8,16,466,Publicsoft,less_itens
Alcantil,bandit,2019-12-12T19:04:58Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,9,517203,1996880,33,5,16,409,Publicsoft,less_itens
Alcantil,bfs,2019-12-11T16:02:30Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,20,1195868,1994315,33,14,16,604,Publicsoft,less_itens
Alcantil,bfs,2019-12-12T16:21:33Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,19,1151090,1989572,33,14,16,604,Publicsoft,less_itens
Arara,bandit,2019-12-10T20:07:29Z,48,42,4,2,0.9130434782608695,0.9545454545454546,0.9333333333333332,235,14112494,14648282,244,169,189,6055,Elmar Tecnologia,less_itens
Arara,bandit,2019-12-12T10:51:17Z,48,42,4,2,0.9130434782608695,0.9545454545454546,0.9333333333333332,218,13079745,17147739,286,183,195,6157,Elmar Tecnologia,less_itens
Arara,bandit,2019-12-12T19:05:20Z,48,42,4,2,0.9130434782608695,0.9545454545454546,0.9333333333333332,219,13154051,15388510,256,156,197,6236,Elmar Tecnologia,less_itens
Arara,bfs,2019-12-10T20:07:26Z,48,42,4,2,0.9130434782608695,0.9545454545454546,0.9333333333333332,165,9907374,18060704,301,160,188,5397,Elmar Tecnologia,less_itens
Arara,bfs,2019-12-11T17:25:15Z,48,42,4,2,0.9130434782608695,0.9545454545454546,0.9333333333333332,183,11008383,17935283,299,166,188,5535,Elmar Tecnologia,less_itens
Arara,bfs,2019-12-12T17:45:11Z,48,42,4,2,0.9130434782608695,0.9545454545454546,0.9333333333333332,161,9685559,17673572,295,160,188,5397,Elmar Tecnologia,less_itens
Areia,bandit,2019-12-12T07:38:17Z,48,43,5,0,0.8958333333333334,1,0.945054945054945,6,338716,8690765,145,6,81,1029,Alfa Consultoria / Publicsoft,less_itens
Areia,bfs,2019-12-11T13:36:19Z,48,43,2,0,0.9555555555555556,1,0.9772727272727273,27,1646651,11732899,196,19,69,1233,Alfa Consultoria / Publicsoft,less_itens
Areia,bfs,2019-12-12T13:56:25Z,48,43,2,0,0.9555555555555556,1,0.9772727272727273,27,1649083,11721028,195,19,69,1297,Alfa Consultoria / Publicsoft,less_itens
Areia de Baraúnas,bandit,2019-12-11T22:13:40Z,48,39,2,1,0.9512195121951219,0.975,0.9629629629629629,23,1406420,33875995,565,18,133,1444,EasyWeb / Publicsoft / e-TICons,less_itens
Areia de Baraúnas,bfs,2019-12-11T13:08:49Z,48,25,20,0,0.5555555555555556,1,0.7142857142857143,1,60513,1648620,27,1,20,485,EasyWeb / Publicsoft / e-TICons,less_itens
Areia de Baraúnas,bfs,2019-12-12T13:22:57Z,48,40,1,1,0.975609756097561,0.975609756097561,0.975609756097561,27,1635032,2006675,33,20,28,837,EasyWeb / Publicsoft / e-TICons,less_itens
Barra de Santa Rosa,bandit,2019-12-11T16:52:47Z,48,37,9,2,0.8043478260869565,0.9487179487179487,0.8705882352941177,11,670083,19251164,321,11,208,2184,Portal Próprio / Elmar Tecnologia,less_itens
Barra de Santa Rosa,bandit,2019-12-13T03:17:26Z,48,35,11,2,0.7608695652173914,0.9459459459459459,0.8433734939759038,12,724633,18937516,316,12,208,2613,Portal Próprio / Elmar Tecnologia,less_itens
Barra de Santa Rosa,bfs,2019-12-11T10:45:28Z,48,37,9,2,0.8043478260869565,0.9487179487179487,0.8705882352941177,6,336734,19020388,317,8,208,2145,Portal Próprio / Elmar Tecnologia,less_itens
Barra de Santa Rosa,bfs,2019-12-12T11:05:55Z,48,37,9,2,0.8043478260869565,0.9487179487179487,0.8705882352941177,5,323633,18936341,316,8,208,2145,Portal Próprio / Elmar Tecnologia,less_itens
Bayeux,bandit,2019-12-11T15:48:30Z,48,39,6,3,0.8666666666666667,0.9285714285714286,0.896551724137931,25,1529341,63920604,1065,44,350,3812,e-TICons,less_itens
Bayeux,bandit,2019-12-13T00:50:02Z,48,39,6,3,0.8666666666666667,0.9285714285714286,0.896551724137931,26,1569639,61839532,1031,43,348,4172,e-TICons,less_itens
Bayeux,bfs,2019-12-11T07:55:04Z,48,37,8,3,0.8222222222222222,0.925,0.8705882352941177,16,982084,18824491,314,28,208,3011,e-TICons,less_itens
Bayeux,bfs,2019-12-12T08:15:52Z,48,40,5,3,0.8888888888888888,0.9302325581395349,0.9090909090909092,24,1439360,18423984,307,43,208,3320,e-TICons,less_itens
Belém do Brejo do Cruz,bandit,2019-12-11T15:15:01Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,14,829819,2007274,33,11,16,541,Publicsoft,less_itens
Belém do Brejo do Cruz,bandit,2019-12-13T00:18:53Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,20,1179165,1867641,31,14,14,577,Publicsoft,less_itens
Belém do Brejo do Cruz,bfs,2019-12-11T07:21:33Z,48,43,2,3,0.9555555555555556,0.9347826086956522,0.945054945054945,20,1187323,2009338,33,14,16,604,Publicsoft,less_itens
Belém do Brejo do Cruz,bfs,2019-12-12T07:42:18Z,48,43,2,3,0.9555555555555556,0.9347826086956522,0.945054945054945,20,1194681,2012770,34,14,16,604,Publicsoft,less_itens
Bom Jesus,bandit,2019-12-11T11:51:36Z,48,42,4,2,0.9130434782608695,0.9545454545454546,0.9333333333333332,189,11312245,12203863,203,161,176,5897,Elmar Tecnologia,less_itens
Bom Jesus,bandit,2019-12-12T23:48:53Z,48,42,4,2,0.9130434782608695,0.9545454545454546,0.9333333333333332,205,12293611,12511457,209,162,186,5872,Elmar Tecnologia,less_itens
Bom Jesus,bfs,2019-12-11T05:51:11Z,48,42,4,2,0.9130434782608695,0.9545454545454546,0.9333333333333332,144,8621104,17656252,294,151,188,5202,Elmar Tecnologia,less_itens
Bom Jesus,bfs,2019-12-12T06:14:11Z,48,42,4,2,0.9130434782608695,0.9545454545454546,0.9333333333333332,144,8621602,17503278,292,150,188,5173,Elmar Tecnologia,less_itens
Bom Sucesso,bandit,2019-12-11T10:08:20Z,48,38,10,0,0.7916666666666666,1,0.8837209302325582,2,133538,6195083,103,5,64,717,DC Soluções,less_itens
Bom Sucesso,bandit,2019-12-12T22:09:00Z,48,38,10,0,0.7916666666666666,1,0.8837209302325582,2,138147,5992159,100,5,64,711,DC Soluções,less_itens
Bom Sucesso,bfs,2019-12-11T04:10:44Z,48,38,10,0,0.7916666666666666,1,0.8837209302325582,2,134632,6026036,100,5,64,711,DC Soluções,less_itens
Bom Sucesso,bfs,2019-12-12T04:31:45Z,48,38,10,0,0.7916666666666666,1,0.8837209302325582,2,131611,6144605,102,5,64,711,DC Soluções,less_itens
Campina Grande,bandit,2019-12-10T18:59:56Z,48,38,8,2,0.8260869565217391,0.95,0.8837209302325583,13,766618,1634126,27,13,17,601,Alfa Consultoria / Publicsoft,less_itens
Campina Grande,bandit,2019-12-12T10:03:09Z,48,38,8,2,0.8260869565217391,0.95,0.8837209302325583,9,529353,1777112,30,10,18,542,Alfa Consultoria / Publicsoft,less_itens
Campina Grande,bfs,2019-12-10T19:00:26Z,48,38,8,2,0.8260869565217391,0.95,0.8837209302325583,15,916045,1639291,27,15,17,650,Alfa Consultoria / Publicsoft,less_itens
Campina Grande,bfs,2019-12-11T16:35:45Z,48,43,3,2,0.9347826086956522,0.9555555555555556,0.945054945054945,15,878914,1577243,26,15,17,656,Alfa Consultoria / Publicsoft,less_itens
Campina Grande,bfs,2019-12-12T16:54:43Z,48,38,8,2,0.8260869565217391,0.95,0.8837209302325583,15,883330,1598781,27,15,17,650,Alfa Consultoria / Publicsoft,less_itens
Carrapateira,bandit,2019-12-11T06:27:18Z,48,41,4,3,0.9111111111111111,0.9318181818181818,0.9213483146067416,208,12492042,13261104,221,147,173,5065,Elmar Tecnologia,less_itens
Carrapateira,bandit,2019-12-12T20:46:55Z,48,41,4,3,0.9111111111111111,0.9318181818181818,0.9213483146067416,207,12399651,12717490,212,148,177,5351,Elmar Tecnologia,less_itens
Carrapateira,bfs,2019-12-11T03:41:47Z,48,41,4,3,0.9111111111111111,0.9318181818181818,0.9213483146067416,198,11853946,13185309,220,145,175,5002,Elmar Tecnologia,less_itens
Carrapateira,bfs,2019-12-12T04:01:41Z,48,41,4,3,0.9111111111111111,0.9318181818181818,0.9213483146067416,197,11830218,13236582,221,145,175,5002,Elmar Tecnologia,less_itens
Conceição,bandit,2019-12-10T19:32:45Z,48,12,6,4,0.6666666666666666,0.75,0.7058823529411765,75,4501255,7999315,133,87,90,2894,EasyWeb / e-TICons,less_itens
Conceição,bandit,2019-12-12T10:32:47Z,48,10,6,4,0.625,0.7142857142857143,0.6666666666666666,58,3480027,7524229,125,83,83,2815,EasyWeb / e-TICons,less_itens
Conceição,bfs,2019-12-10T19:33:39Z,48,11,7,4,0.6111111111111112,0.7333333333333333,0.6666666666666666,56,3385001,5559893,93,75,80,2738,EasyWeb / e-TICons,less_itens
Conceição,bfs,2019-12-11T17:02:03Z,48,11,7,4,0.6111111111111112,0.7333333333333333,0.6666666666666666,57,3445431,5608220,93,75,79,2721,EasyWeb / e-TICons,less_itens
Conceição,bfs,2019-12-12T17:21:23Z,48,11,7,4,0.6111111111111112,0.7333333333333333,0.6666666666666666,56,3352122,5474784,91,75,80,2738,EasyWeb / e-TICons,less_itens
Coremas,bandit,2019-12-11T04:20:19Z,48,29,18,1,0.6170212765957447,0.9666666666666667,0.7532467532467533,24,1461571,45146979,752,43,277,2065,e-TICons,less_itens
Coremas,bandit,2019-12-12T20:23:24Z,48,35,12,1,0.7446808510638298,0.9722222222222222,0.8433734939759036,23,1381381,1409274,23,41,45,1362,e-TICons,less_itens
Coremas,bfs,2019-12-11T02:03:36Z,48,30,17,1,0.6382978723404256,0.967741935483871,0.7692307692307693,24,1433258,7626621,127,42,100,1502,e-TICons,less_itens
Coremas,bfs,2019-12-12T02:05:12Z,48,30,17,1,0.6382978723404256,0.967741935483871,0.7692307692307693,24,1429687,8792814,147,42,110,1532,e-TICons,less_itens
Cruz do Espírito Santo,bandit,2019-12-11T03:45:20Z,48,45,0,3,1,0.9375,0.967741935483871,10,578781,2098890,35,7,17,454,Publicsoft,less_itens
Cruz do Espírito Santo,bandit,2019-12-12T19:48:30Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,11,652869,2092507,35,7,17,457,Publicsoft,less_itens
Cruz do Espírito Santo,bfs,2019-12-11T01:30:23Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,17,1004552,1992251,33,12,16,549,Publicsoft,less_itens
Cruz do Espírito Santo,bfs,2019-12-12T01:32:01Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,17,1009349,1990146,33,12,16,549,Publicsoft,less_itens
Esperança,bandit,2019-12-11T03:38:03Z,48,35,7,1,0.8333333333333334,0.9722222222222222,0.8974358974358975,6,354388,435813,7,13,19,622,Info Public,less_itens
Esperança,bandit,2019-12-12T19:38:37Z,48,35,7,1,0.8333333333333334,0.9722222222222222,0.8974358974358975,2,135893,592267,10,12,20,618,Info Public,less_itens
Esperança,bfs,2019-12-11T01:23:07Z,48,35,7,1,0.8333333333333334,0.9722222222222222,0.8974358974358975,2,134251,434964,7,12,19,586,Info Public,less_itens
Esperança,bfs,2019-12-12T01:24:44Z,48,35,7,1,0.8333333333333334,0.9722222222222222,0.8974358974358975,2,136530,436005,7,12,19,586,Info Public,less_itens
Gado Bravo,bandit,2019-12-11T03:26:27Z,48,32,4,1,0.8888888888888888,0.9696969696969697,0.927536231884058,2,116598,694430,12,3,9,202,Franinformática / Publicsoft / Aspec Informática,less_itens
